-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.742, 80.059, 1.028,  0.478
-183.718, 80.024, 1.106,  0.511
-183.691, 79.986, 1.201,  0.544
-183.660, 79.947, 1.290,  0.577
-183.627, 79.906, 1.369,  0.610
-183.591, 79.864, 1.428,  0.643
-183.553, 79.821, 1.474,  0.676
-183.513, 79.779, 1.505,  0.709
-183.472, 79.737, 1.528,  0.742
-183.430, 79.695, 1.558,  0.775
-183.387, 79.653, 1.588,  0.808
-183.344, 79.611, 1.615,  0.841
-183.300, 79.569, 1.643,  0.874
-183.257, 79.525, 1.673,  0.907
-183.214, 79.482, 1.690,  0.940
-183.172, 79.438, 1.691,  0.973
-183.131, 79.395, 1.689,  1.006
-183.092, 79.351, 1.683,  1.039
-183.054, 79.307, 1.664,  1.072
-183.017, 79.264, 1.640,  1.105
-182.983, 79.221, 1.615,  1.138
-182.950, 79.179, 1.551,  1.171
-182.920, 79.138, 1.519,  1.204
-182.892, 79.096, 1.490,  1.237
-182.865, 79.056, 1.461,  1.270
-182.840, 79.014, 1.451,  1.303
-182.817, 78.972, 1.441,  1.336
-182.794, 78.930, 1.438,  1.369
-182.771, 78.888, 1.443,  1.402
-182.748, 78.845, 1.455,  1.435
-182.724, 78.802, 1.472,  1.468
-182.701, 78.758, 1.493,  1.501
-182.679, 78.713, 1.514,  1.534
-182.656, 78.667, 1.537,  1.567
-182.634, 78.620, 1.560,  1.600
-182.611, 78.572, 1.580,  1.633
-182.588, 78.524, 1.599,  1.666
-182.565, 78.476, 1.614,  1.699
-182.541, 78.427, 1.626,  1.732
